n_components,n_clusters,silhouette_score,davies_bouldin_score
2,2,0.487860539,0.791175321
2,3,0.402141914,0.949953719
2,4,0.35451058,1.038799192
2,5,0.391097653,0.820868538
2,6,0.359981221,0.912074164
2,7,0.350493725,0.913994981
2,8,0.341466817,0.890745759
2,9,0.333841317,0.917756689
2,10,0.338597919,0.909716778
3,2,0.395316161,1.025453357
3,3,0.352567035,1.16365828
3,4,0.300814954,1.286692393
3,5,0.322078011,1.122980171
3,6,0.306808575,1.123633328
3,7,0.315165916,1.010418949
3,8,0.294326335,1.082358932
3,9,0.285691679,1.122680321
3,10,0.2876983,1.089873375
4,2,0.344656957,1.178346838
4,3,0.259110224,1.686245308
4,4,0.217307932,1.505706855
4,5,0.226091359,1.489211829
4,6,0.216516299,1.371166276
4,7,0.234686554,1.312996103
4,8,0.208218471,1.418404151
4,9,0.243755377,1.244024884
4,10,0.237033492,1.259900729
5,2,0.307101588,1.306449355
5,3,0.169388616,1.985482888
5,4,0.183099512,1.741374357
5,5,0.169622754,1.768915954
5,6,0.185726086,1.585490743
5,7,0.20220161,1.438496741
5,8,0.176957889,1.485573882
5,9,0.188967056,1.431531705
5,10,0.182600479,1.421433724
6,2,0.279020347,1.416649612
6,3,0.153758433,1.994835543
6,4,0.157542439,1.979042084
6,5,0.16254693,1.810748465
6,6,0.155067919,1.860102272
6,7,0.147584468,1.84389115
6,8,0.150488481,1.678792609
6,9,0.166223081,1.621031142
6,10,0.160899911,1.590450302
7,2,0.257170108,1.513758008
7,3,0.196791441,1.959039235
7,4,0.166146611,2.144397032
7,5,0.14185953,2.22911699
7,6,0.149636876,2.08555451
7,7,0.140229793,2.030442123
7,8,0.13490263,1.84937643
7,9,0.129767433,1.940142912
7,10,0.131848641,1.899314842
8,2,0.2414615,1.590848282
8,3,0.188584554,2.040506036
8,4,0.160261637,2.063011719
8,5,0.134068472,2.018319458
8,6,0.124351501,2.267294551
8,7,0.133579625,2.12430114
8,8,0.135233302,1.921101359
8,9,0.130677117,1.898956426
8,10,0.13543018,1.815186388
9,2,0.232231822,1.646466513
9,3,0.174047509,2.20051037
9,4,0.112967705,2.541650554
9,5,0.116976091,2.330534158
9,6,0.114459121,2.259284829
9,7,0.117132051,2.119655392
9,8,0.121179827,2.089737735
9,9,0.125920313,1.921638306
9,10,0.12783521,1.838696681
10,2,0.223505409,1.70043712
10,3,0.147330224,2.462912978
10,4,0.161251766,2.088628379
10,5,0.131969708,2.067027619
10,6,0.133697273,2.096316615
10,7,0.130428864,2.119849085
10,8,0.108520977,2.171302716
10,9,0.104415431,2.136442809
10,10,0.113113098,2.009128254
11,2,0.214505846,1.752725831
11,3,0.138332019,2.532823612
11,4,0.109173555,2.327527284
11,5,0.119748048,2.417418523
11,6,0.109509761,2.455786325
11,7,0.112069692,2.273040148
11,8,0.103055272,2.26456892
11,9,0.106552351,2.119516009
11,10,0.107849183,2.082338547
